Return Year,Region,Population,Run Timing,Hatchery Facility,Program Type,Conservation Unit ID,Conservation Unit Name,CU Acronym,DU #,Proposed DU Name,Proposed DU Short Name,JAZ Acronym,PNI Estimate Type (CWT),pHOS (CWT),pNOB (CWT),"PNI (CWT, incl. jacks)",Annual Biological Designation (CWT),PNI Calculation Description,CWT comments,PNI Estimate Type (Thermal),pHOS (Thermal),pNOB (Thermal),PNI (Thermal),Annual Biological Designation (Thermal),PNI Calculation Description,Thermal Mark Comments,pHOS (PBT),pNOB (PBT),PNI (PBT),PBT Comments,pHOS (biostandards w/o jacks),PNI (biostandards w/o jacks),pHOS (biostandards w/ jacks),PNI (biostandards w/ jacks),General Comments,Complete Cohort Years (CWT),Complete Cohort Years (Thermal),Years when the Proportion of the Release has > 5% Unassociated Tags (only applies to CWTs)
2018,SBC,Capilano River,Fall,Capilano,OPS,CK-9007,Southern BC-Cross-CU Supplementation Exclusion<<Bin>>,sBC-XCU,NA,0,0,SC+GStr,No Estimate,1,0,0,Integrated - Hatchery,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",Only pNOB estimate available. pHOS assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-1976; 1980-2002; 2018,,"1993, 1995-1997, 1999-2001, 2003-2012"
2010,SBC,Cheakamus River,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,Direct,0.17,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1990, 2005, 2008-2009, 2011"
2016,SBC,Cheakamus River,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,Partial Direct,1,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1990, 2005, 2008-2009, 2011"
1991,SBC,Chemainus River - fall,Fall,Nanaimo,CDP,CK-025,East Vancouver Island-Nanaimo and Chemainus_FA_0.x,EVI-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Partial Direct,1,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1987-1996; 2002,,"1981, 1994-1996, 2000"
1986,SBC,Chilliwack River - summer,Summer,Chilliwack,OPS,CK-006,Lower Fraser River_SU_1.3,LFR-summer,DU5,BC Lower Fraser River Stream Summer,LFR+GStr/Stream/Summer,LFR+GStr,Partial Direct,1,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990; 1994-1995,,"1985, 1992, 2005-2006, 2010, 2012-2013"
1992,SBC,Chilliwack River - summer,Summer,Chilliwack,OPS,CK-006,Lower Fraser River_SU_1.3,LFR-summer,DU5,BC Lower Fraser River Stream Summer,LFR+GStr/Stream/Summer,LFR+GStr,Partial Direct,1,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990; 1994-1995,,"1985, 1992, 2005-2006, 2010, 2012-2013"
1982,SBC,Conuma River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,Partial Direct,1,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ","Thermally marked. Otolith samples from Conuma are from fish taken from the river, so there is only one stratum, and pHOS = pHOB, for all the Conuma hatchery stocks. There are no swim ins, and the mark rate in brood is assumed to be the same as the rest of the river",,,#DIV/0!,,,,,,,1984-2005,2011-2018,"1988, 1991-1992, 1995, 2003-2017"
1985,SBC,Harrison River,Fall,Chilliwack,OPS,CK-003,Lower Fraser River_FA_0.3,LFR-fall,DU2,BC Lower Fraser River Ocean Fall,LFR+GStr/Ocea n/Fall,LFR+GStr,Direct,0.01,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,"1987, 1992-2018",,"1982, 1985"
1991,SBC,Little Qualicum River,Fall,Little Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.19,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1984-2003,,"1970, 1996, 1998, 1999, 2003-2017"
1991,SBC,Mamquam River,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,Direct,0.76,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1997, 2014-2016"
1987,SBC,Puntledge River - fall,Fall,Puntledge,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1980-2018,,"1972, 1987-1991, 1993, 2000, 2005, 2009, 2014, 2016"
1991,SBC,Puntledge River - fall,Fall,Puntledge,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1980-2018,,"1972, 1987-1991, 1993, 2000, 2005, 2009, 2014, 2016"
1976,SBC,Puntledge River - summer,Summer,Puntledge,OPS,CK-083,East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,DU20,BC East Vancouver Island Ocean Summer,EVI+GStr/Ocean/Summer,EVI+GStr,Direct,0.85,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1976-2018,2018,"1971, 1983, 1991, 1994, 1997, 2000, 2011, 2014"
1979,SBC,Puntledge River - summer,Summer,Puntledge,OPS,CK-083,East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,DU20,BC East Vancouver Island Ocean Summer,EVI+GStr/Ocean/Summer,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1976-2018,2018,"1971, 1983, 1991, 1994, 1997, 2000, 2011, 2014"
